action,video_title,video_link,author_name,author_link
liked,"In:Most - Glimmer Feat. Lucy Kitchen (Sub:liminal & SOLR Remix)",https://youtube.com/watch?v=b1tXkvPchQQ,"Liquiddnbftw",https://youtube.com/channel/UC2nyzWMWgoYnbrJjeEpETLw
liked,"Gus Dapperton - Prune, You Talk Funny",https://youtube.com/watch?v=QrVl7mgVSg0,"GusDappertonVEVO",https://youtube.com/channel/UCpxmpwUgsNNT96iyiIuOa3w
liked,"Михаил Боярский ""Зеленоглазое такси"" (1988)",https://youtube.com/watch?v=7FYCYy3lxrI,"Музыка на советском телевидении",https://youtube.com/channel/UC7QX724vt3YwVnkMwtmdqNA
disliked,"#011 Dreamscape (Liquid Drum & Bass Mix)",https://youtube.com/watch?v=8Puoa7NbliQ,"KushSessions",https://youtube.com/channel/UCExp8tufmQFAAAGRO-Ybbjg
liked,"Russian Doomer Music / Русская Думерская Музыка / Post-punk",https://youtube.com/watch?v=abhxCsVp8BU,"Twelvi",https://youtube.com/channel/UCN625AiDWXGMNgyhrYj1cvg
liked,"Put Your Money on Me",https://youtube.com/watch?v=6kgZHAptphs,"Arcade Fire - Topic",https://youtube.com/channel/UCXvAK640Ko85SLbI-zA0ZCg
disliked,"RÜFÜS DU SOL ●● Innerbloom (Official Video)",https://youtube.com/watch?v=Tx9zMFodNtA,"RÜFÜS DU SOL",https://youtube.com/channel/UC6iin46o7SrAsnl9ig__vlw
liked,"Giorgia Angiuli - Trust the Hours (Original Mix)",https://youtube.com/watch?v=J-qe2hGNFMc,"Giorgia Angiuli",https://youtube.com/channel/UCa3vT97_CxFzwC9j_BZZCGw
disliked,"Ben Böhmer | Lane 8 - Mix Collection",https://youtube.com/watch?v=6DWmpP9S3pg,"Cure Music",https://youtube.com/channel/UCrMbaZ-frGefKfZFIGa-qFg
liked,"ENiGMA Dubz - Out of My Mind [OFFICIAL AUDIO]",https://youtube.com/watch?v=QK5BfTUzpKU,"ENiGMA Dubz",https://youtube.com/channel/UC9UPNsqmBhPwzJwovSP90ZA
liked,"What if you threw a baseball at nearly light speed?",https://youtube.com/watch?v=3EI08o-IGYk,"xkcd's What If?",https://youtube.com/channel/UC6IxnFzHofFJ5X2PycSMsww
liked,"Rebeat feat. Shirley Bassey - If You Go Away (Original Mix)",https://youtube.com/watch?v=dxkEagJ7AJg,"TheIoLoSo9",https://youtube.com/channel/UCQy-nx9PQY5qV9qWll_LVdQ
disliked,"New Indie Music | June 2022 Playlist",https://youtube.com/watch?v=PlUb6MOA_70,"Indie Playlists",https://youtube.com/channel/UCwLxgZHR8oDOzJXtXuSB_bA
liked,"The Marías | Radio 📻",https://youtube.com/watch?v=YeLMWJl80qs,"Indie Playlists",https://youtube.com/channel/UCwLxgZHR8oDOzJXtXuSB_bA
liked,"CHROMATICS ""I'M ON FIRE""",https://youtube.com/watch?v=VEFTK1stlGo,"Italians Do It Better Music",https://youtube.com/channel/UCSMex9kCmlfvbxuLFeWqODA
disliked,"#017 Liquid Love (50k Subs Edition)(Liquid Drum & Bass Mix)",https://youtube.com/watch?v=VOgHOl3eyPk,"KushSessions",https://youtube.com/channel/UCExp8tufmQFAAAGRO-Ybbjg
liked,"GitHub Arctic Code Vault",https://youtube.com/watch?v=fzI9FNjXQ0o,"GitHub",https://youtube.com/channel/UC7c3Kb6jYCRj4JOHHZTxKsQ
disliked,"#010 Dreamscape (Liquid Drum & Bass Mix)",https://youtube.com/watch?v=h7--DyFfZPU,"KushSessions",https://youtube.com/channel/UCExp8tufmQFAAAGRO-Ybbjg
liked,"2MINUTI - Calcutta",https://youtube.com/watch?v=gbMFhrDUBE0,"disco azzurro",https://youtube.com/channel/UC8EVrez6GVkmnPpK4W0ssXg
liked,"Alvvays - Archie, Marry Me (Official Video)",https://youtube.com/watch?v=ZAn3JdtSrnY,"Alvvays",https://youtube.com/channel/UCFwM7mqRJQltXEduilGLHYg
liked,"Alvvays - Dreams Tonite [Official Video]",https://youtube.com/watch?v=ZXu6q-6JKjA,"Alvvays",https://youtube.com/channel/UCFwM7mqRJQltXEduilGLHYg
liked,"Wolves - Phosphorescent",https://youtube.com/watch?v=jH3C8FyHsIk,"Leishman88 -",https://youtube.com/channel/UCfbdnUoqQh49OuGxX5UiRUg
liked,"Manchester Orchestra - The Gold (Official Video) from A Black Mile To The Surface",https://youtube.com/watch?v=qaeWss85_vg,"Manchester Orchestra",https://youtube.com/channel/UCxi28TQABtfZ0pfvMVozD7Q
liked,"Controlling Your Dopamine For Motivation, Focus & Satisfaction | Huberman Lab Podcast #39",https://youtube.com/watch?v=QmOF0crdyRU,"Andrew Huberman",https://youtube.com/channel/UC2D2CMWXMOVWx7giW1n3LIg
liked,"Why do colliding blocks compute pi?",https://youtube.com/watch?v=jsYwFizhncE,"3Blue1Brown",https://youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw
liked,"Nuospherel - Soul Like A Fire",https://youtube.com/watch?v=4h3na5oaDm0,"Liquiddnbftw",https://youtube.com/channel/UC2nyzWMWgoYnbrJjeEpETLw
liked,"Chillout Music 2022 | Aurora Night - I'm Sorry",https://youtube.com/watch?v=wvCBIaYN6Ss,"Aurora Night",https://youtube.com/channel/UCfw9rO6L26d7_aW61HHa91w
liked,"Elipsa - Addicted",https://youtube.com/watch?v=daHCs-V2_y4,"UKF Drum & Bass",https://youtube.com/channel/UCr8oc-LOaApCXWLjL7vdsgw
liked,"Generalna proba samoubistva - MAT Obrenovac",https://youtube.com/watch?v=KL7d2nXNLmM,"Miladin Stanojević",https://youtube.com/channel/UCufNCumpJpS1w40AorxOrBA
liked,"The Midnight - Jason (Official Audio)",https://youtube.com/watch?v=qIz-9CHVQUc,"The Midnight",https://youtube.com/channel/UC-sM_PLqzgktdUcW2LEKKkQ
liked,"Sibylle Baier - Tonight",https://youtube.com/watch?v=sY_F0mPq7ec,"spycory1",https://youtube.com/channel/UC7Sr2yOwC2_dTmOhpvDefvQ
liked,"Pillow Fights (Original Mix)",https://youtube.com/watch?v=leMvLCcEUMI,"Mango & Richard J Aarden - Topic",https://youtube.com/channel/UC8BMLIy1_iCZZNYYj6ZTP8g
liked,"Mango, Richard J Aarden - Pillow Fights (Blood Groove & Kikis Remix) [Silk Music]",https://youtube.com/watch?v=oCsOjxLxoXs,"Monstercat Silk",https://youtube.com/channel/UCX4sShAQf01LYjYQhG2ZgKg
liked,"Sewerslvt - goodbye",https://youtube.com/watch?v=ABBpsy6rlVU,"Sewerslvt",https://youtube.com/channel/UCnW2hq-0-3Urmz12oK2z3mQ
liked,"Su Lee - Tired (Guess I'll call this music video but I'm just vibing in my room)",https://youtube.com/watch?v=NAA7P_dkZSY,"Su Lee",https://youtube.com/channel/UCh0H_Bie0cJ5zpat63aJ1dQ
liked,"New Advances in Artificial Intelligence and Machine Learning",https://youtube.com/watch?v=NQkSH_CBPq8,"Steve Brunton",https://youtube.com/channel/UCm5mt-A4w61lknZ9lCsZtBw
liked,"Robert Greene: A Process for Finding & Achieving Your Unique Purpose",https://youtube.com/watch?v=50BZQRT1dAg,"Andrew Huberman",https://youtube.com/channel/UC2D2CMWXMOVWx7giW1n3LIg
liked,"The Slow Rush - Tame Impala (Full Album)",https://youtube.com/watch?v=o2xUEhCSOEg,"Hard Rock",https://youtube.com/channel/UCBpVfuTPJEY7Rl9pWZ4gSmg
liked,"Numerical Differentiation with Finite Difference Derivatives",https://youtube.com/watch?v=9fGaTU1-f-0,"Steve Brunton",https://youtube.com/channel/UCm5mt-A4w61lknZ9lCsZtBw
liked,"The Method of Characteristics and the Wave Equation",https://youtube.com/watch?v=eI2x99SxJgU,"Steve Brunton",https://youtube.com/channel/UCm5mt-A4w61lknZ9lCsZtBw
liked,"Fifty-fifty Clown",https://youtube.com/watch?v=b-WUAxgHgHw,"Cocteau Twins - Topic",https://youtube.com/channel/UCle3lHYlHgugefCCr78N1Gw
liked,"I Wear Your Ring",https://youtube.com/watch?v=EGkBSZgqrQA,"Cocteau Twins - Topic",https://youtube.com/channel/UCle3lHYlHgugefCCr78N1Gw
liked,"Jock-O-Rama",https://youtube.com/watch?v=K1anNwvw808,"Dead Kennedys - Topic",https://youtube.com/channel/UCnGbZT2OHo8Kc0MoVpDi9cQ
liked,"Mauve - The River (feat. Axel Ehnström)",https://youtube.com/watch?v=fmnnCfqEGDc,"We Are Diamond",https://youtube.com/channel/UCrFFy9BMtlNsg2wsa4XbTPg
disliked,"Evan Craft - Faith Don't Fail Me Now (Official Lyric Video)",https://youtube.com/watch?v=9Hp0dqTcSpw,"Evan Craft",https://youtube.com/channel/UCufetXIFqNY_c2AE_79FQ1Q
liked,"Steven Weston feat. Taė - One More Time",https://youtube.com/watch?v=o-qldiWfagE,"Anjunadeep",https://youtube.com/channel/UCbDgBFAketcO26wz-pR6OKA
liked,"The Finite Difference Method (1D)",https://youtube.com/watch?v=to82dv2SX28,"Dave's Space",https://youtube.com/channel/UCbqziZij4Gcow_0M5qJVW1A
liked,"Tagavaka - Dulcet",https://youtube.com/watch?v=tWXAnfY22nc,"Anjunadeep",https://youtube.com/channel/UCbDgBFAketcO26wz-pR6OKA
liked,"Fluid Mechanics: Reynolds Transport Theorem, Conservation of Mass, Kinematics Examples (9 of 34)",https://youtube.com/watch?v=UZW1tdTjBpI,"CPPMechEngTutorials",https://youtube.com/channel/UCZScjkZuVuvwa-JVA3mHO3w
liked,"Lec0: Sizing a Rocket Engine from Scratch (Intro to Rocket Design)",https://youtube.com/watch?v=sTZhUrflZF4,"Liquid Propulsion Group",https://youtube.com/channel/UCT76g_bfRFlvNwKWh-h-UFA
liked,"Understanding Aerodynamic Drag",https://youtube.com/watch?v=GMmNKUlXXDs,"The Efficient Engineer",https://youtube.com/channel/UCXAS_Ekkq0iFJ9dSUIkcAkw
disliked,"Anjunadeep Essentials (DJ Mix) (Ben Böhmer, Tinlicker, Yotto, Marsh, Lane 8, Eli & Fur)",https://youtube.com/watch?v=RhRUVQTOshE,"Anjunadeep",https://youtube.com/channel/UCbDgBFAketcO26wz-pR6OKA
disliked,"Mach Two [Chillwave -  Synthwave Mix]",https://youtube.com/watch?v=yC_Sg9Smd1w,"EscapeVaporwave",https://youtube.com/channel/UCahvKdvDq_xpCTgMDeSd8qw
liked,"How to Export Transcripts From Custom GPTs (OpenAI GPTs Tutorial)",https://youtube.com/watch?v=zeki9Wtmq44,"Liam Ottley",https://youtube.com/channel/UCui4jxDaMb53Gdh-AZUTPAg
liked,"Converging-Diverging Nozzle Pressure Delineations",https://youtube.com/watch?v=b5q022xNgp0,"JoshTheEngineer",https://youtube.com/channel/UCQq2_Dk2MvGGqi8-eBVwRww
liked,"Explained: Converging-Diverging Nozzle",https://youtube.com/watch?v=p8e8A3sdVOg,"JoshTheEngineer",https://youtube.com/channel/UCQq2_Dk2MvGGqi8-eBVwRww
liked,"Christian Löffler - Lys (feat. Menke)",https://youtube.com/watch?v=86gJ-2JhZcs,"Christian Löffler",https://youtube.com/channel/UCdGOUsLqm5_ds01HX9xMRHg
disliked,"Jerro feat. Beacon - Go Back Now",https://youtube.com/watch?v=7nqV5twAalU,"Anjunadeep",https://youtube.com/channel/UCbDgBFAketcO26wz-pR6OKA
liked,"Röyksopp - Beautiful Day Without You",https://youtube.com/watch?v=p1IYrUzEAQo,"LolloBix",https://youtube.com/channel/UCRCWmXKy8HyD3M4SZjEfqLg
liked,"Röyksopp - Only This Moment",https://youtube.com/watch?v=ze9Oei__Vvg,"LolloBix",https://youtube.com/channel/UCRCWmXKy8HyD3M4SZjEfqLg
liked,"Röyksopp - Profound Mysteries I-III | Livestream 17.11.2022",https://youtube.com/watch?v=FQ-bUB6lCuw,"Röyksopp",https://youtube.com/channel/UC9lmMDVtBa6Hppy8Ehfpwpg
liked,"Cubicolor - Diver",https://youtube.com/watch?v=oLGBak6Vpoo,"Anjunadeep",https://youtube.com/channel/UCbDgBFAketcO26wz-pR6OKA
disliked,"Lane 8 Fall 2020 Mixtape",https://youtube.com/watch?v=hGR06bX5d_Q,"This Never Happened",https://youtube.com/channel/UCozj7uHtfr48i6yX6vkJzsA
liked,"Eli & Fur - Where I Find My Mind (Official Visualizer) [Anjunadeep]",https://youtube.com/watch?v=yLQQcjQRvzY,"Eli & Fur",https://youtube.com/channel/UC5y0HXSuNiM0U_U3-8wiTBQ
liked,"Amanda Lear - Follow Me (Official Video)",https://youtube.com/watch?v=b9YyPIiT2pM,"amandalearVEVO",https://youtube.com/channel/UC5QZvS8kq0Or2ShS4iLLI9A
liked,"Aurora Night - Maybe",https://youtube.com/watch?v=4mRHuL1pSpk,"knvnatali",https://youtube.com/channel/UCd5le2dI4R6PFCRYZZm_cRA
liked,"Dove",https://youtube.com/watch?v=RLefc10kkMc,"Cymande - Topic",https://youtube.com/channel/UCIWFx0nG2yp5URl3z0IofXQ
liked,"Aurora Night -  Mira",https://youtube.com/watch?v=SHJz0ZxVhAM,"knvnatali",https://youtube.com/channel/UCd5le2dI4R6PFCRYZZm_cRA
liked,"Xenex - Lost Signals (Original Mix) [Reload Records]",https://youtube.com/watch?v=0mkkQ9VE_Pg,"L U X A R",https://youtube.com/channel/UC2GisCK2K4L77pe-5N0-sbg
liked,"Blur",https://youtube.com/watch?v=lRyp0vtZTIc,"Karbi Cruz - Topic",https://youtube.com/channel/UCF5vRLu2jY86QhscVZ4r8ZQ
liked,"Blame The Mono - Funfair [TPN016]",https://youtube.com/watch?v=h05Q-187w44,"HATE",https://youtube.com/channel/UC6qQOTx9LuKMC5p2dbjmSRg
liked,"Underground Je Mama",https://youtube.com/watch?v=k_E13-nLK9U,"Danitz - Topic",https://youtube.com/channel/UCjzeGqzYIigQHqvHoxoqWKg
liked,"Ultravox - Reap The Wild Wind (Official Music Video)",https://youtube.com/watch?v=SeR9OtIOajc,"UltravoxOfficialVEVO",https://youtube.com/channel/UCEBEno_svJAHTCVTtn14P1w
liked,"Voyage - Dynamic (Extended)",https://youtube.com/watch?v=_dN6hz9RWXk,"vladutzeus",https://youtube.com/channel/UCfBtAW_UufUDBV9ByH7rRKA
liked,"Black Steel",https://youtube.com/watch?v=_UQlDXg5Kvo,"Tricky - Topic",https://youtube.com/channel/UCSuP436X3nxcLjeJQOnlOPg
disliked,"Lane 8 Spring 2021 Mixtape",https://youtube.com/watch?v=cOWOhd6MSwE,"This Never Happened",https://youtube.com/channel/UCozj7uHtfr48i6yX6vkJzsA
liked,"Jerro & Le Youth - Lost Around You (feat. Lizzy Land) [Extended Mix]",https://youtube.com/watch?v=aln7jS2SaCU,"Jerro",https://youtube.com/channel/UCxt6AaTxMl_ah9YiznLhtUQ
liked,"Gareth Emery Feat Sarah De Warren - Vertigo (Extended Mix)  We'll Be OK",https://youtube.com/watch?v=ApYuW-HnscA,"Trance Kingdom",https://youtube.com/channel/UC0_kNcOj9vfWzaPcR2FOAbw
liked,"No Escape feat. MAE (IT) (Anden Remix)",https://youtube.com/watch?v=csf-GPAms9c,"Fat Cosmoe - Topic",https://youtube.com/channel/UC2zWtIB12JH_IBcm9WjhGDg
disliked,"Jon Void - Closer to Close (ft. Patch Edison)",https://youtube.com/watch?v=y-68YvqcMf8,"Liquicity",https://youtube.com/channel/UCSXm6c-n6lsjtyjvdD0bFVw
liked,"Roos Denayer - The Style of Evermore (Blue Marble Remix)",https://youtube.com/watch?v=yKcTyQGqevs,"Liquicity",https://youtube.com/channel/UCSXm6c-n6lsjtyjvdD0bFVw
liked,"Fred V - Homesick (feat. Lottie Jones)",https://youtube.com/watch?v=eaTkjNEovZI,"Liquicity",https://youtube.com/channel/UCSXm6c-n6lsjtyjvdD0bFVw
liked,"Flite - Be Still",https://youtube.com/watch?v=0kCTUMSBcBk,"Liquicity",https://youtube.com/channel/UCSXm6c-n6lsjtyjvdD0bFVw
liked,"Avizura - Lucky Star",https://youtube.com/watch?v=QR_gbTczkD4,"Liquicity",https://youtube.com/channel/UCSXm6c-n6lsjtyjvdD0bFVw
liked,"Solidmind & Bákayan — Umut Var (Original Mix)",https://youtube.com/watch?v=uUr5FKTghsQ,"Suprematic Sounds",https://youtube.com/channel/UCPbzEbqiUgzR9dDpmtBbC5A
disliked,"Foals - Late Night [Solomun Remix] (Official Audio)",https://youtube.com/watch?v=sQVeK7Dt18U,"Foals",https://youtube.com/channel/UCnnumwiwZd1JWZWpiyqF0gQ
liked,"Eli & Fur - Last Train (Official Visualizer) [Anjunadeep]",https://youtube.com/watch?v=ElUCP4UtqJw,"Eli & Fur",https://youtube.com/channel/UC5y0HXSuNiM0U_U3-8wiTBQ
liked,"Point 140 ft Veela - Mocking Blue (Acoustic) [FREE DOWNLOAD]",https://youtube.com/watch?v=lghYHTUBmRE,"VEELA",https://youtube.com/channel/UC5HXHBQGn_LCMvDImau2vYw
liked,"The Two Body Problem (Newton, Kepler) | Fundamentals of Orbital Mechanics 1",https://youtube.com/watch?v=nJ_f1h49jfM,"Alfonso Gonzalez - Astrodynamics & SE Podcast",https://youtube.com/channel/UCt2NJAAW0Ln0hBpArRF1rpg
liked,"Heartbeat",https://youtube.com/watch?v=kAnqVEzQegs,"Claptone - Topic",https://youtube.com/channel/UCQTcqZlBWnoN4tztEGxXC0g
liked,"JPL and the Space Age: Mission to Mars",https://youtube.com/watch?v=f_sSzn87ljM,"NASA Jet Propulsion Laboratory",https://youtube.com/channel/UCryGec9PdUCLjpJW2mgCuLw
liked,"Jody Wisternoff feat. Mimi Page - For Those We Knew",https://youtube.com/watch?v=kI2hix9I21M,"Anjunadeep",https://youtube.com/channel/UCbDgBFAketcO26wz-pR6OKA
liked,"Ben Böhmer & Malou - Lost In Mind (Volen Sentir Vision)",https://youtube.com/watch?v=xaykajjEFsA,"Anjunadeep",https://youtube.com/channel/UCbDgBFAketcO26wz-pR6OKA
liked,"Foudeqush, Ludwig Göransson - Con La Brisa",https://youtube.com/watch?v=n8Fe8YdglMI,"MarvelMusicVEVO",https://youtube.com/channel/UCP55DP1xXupgE8nm2mZG6MQ
liked,"Buč Kesidi - Laž (audio)",https://youtube.com/watch?v=egWBJyVJX6Y,"Buč Kesidi",https://youtube.com/channel/UC-Nf5yWLdVBaW9NXZrPTtjA
liked,"PRAANA & Danni Carra - Moment",https://youtube.com/watch?v=h_vOosaGOZI,"Colorize",https://youtube.com/channel/UC0N5WnyEJPWvPdETBRN0dkg
liked,"Bjesovi - Kisa",https://youtube.com/watch?v=HhP8SxuUZuo,"alex a",https://youtube.com/channel/UCzE_WHdaMS46jbTjFQjw0TQ
liked,"Rigid (Kobosil 44 Rush Mix)",https://youtube.com/watch?v=Uf1MLglK3fc,"Rosa Anschütz - Topic",https://youtube.com/channel/UCXiUk8rJ-DKyYFUFkFBJiiQ
liked,"Dječaci - LOVRINAC (OFFICIAL VIDEO)",https://youtube.com/watch?v=uggrWRov0mg,"Dječaci KANAL",https://youtube.com/channel/UCwRlNAP08kuMZUrjkCFss-w
liked,"Buč Kesidi - Euforija (audio)",https://youtube.com/watch?v=81SmEWDYvPA,"Buč Kesidi",https://youtube.com/channel/UC-Nf5yWLdVBaW9NXZrPTtjA
liked,"Paul Lock - Scars (Original Mix)",https://youtube.com/watch?v=7AZJWxYfeD0,"Rezilienza",https://youtube.com/channel/UCNfjXxbFn-X6Gppd8trnuRA
liked,"Giolì & Assia - Inside Your Head (Audio)",https://youtube.com/watch?v=lS4wK0tZ-PA,"Giolì & Assia",https://youtube.com/channel/UCCvvW7nH3uVVH1hJ6_PRn0A
liked,"Beth Hart - My California",https://youtube.com/watch?v=FyW9CFFHSEM,"Kirstnnn1",https://youtube.com/channel/UCl2O6O5HgWIKcXwygdkHk9A
liked,"Giolì & Assia - #DiesisLive @Vulcano, Aeolian Islands [Handpan Set]",https://youtube.com/watch?v=m4U232MuTG4,"Giolì & Assia",https://youtube.com/channel/UCCvvW7nH3uVVH1hJ6_PRn0A
liked,"Giolì & Assia - Playing Chess (plus Prelude)",https://youtube.com/watch?v=OBnqoVYBWhY,"Giolì & Assia",https://youtube.com/channel/UCCvvW7nH3uVVH1hJ6_PRn0A
liked,"Feeling Lazy? This is the PERFECT WORKOUT",https://youtube.com/watch?v=3-m4x0fmTF0,"THENX",https://youtube.com/channel/UCqjwF8rxRsotnojGl4gM0Zw
liked,"Marsh & Phenoir feat. Mariel Beausejour - Don't Wait (Frost Remix)",https://youtube.com/watch?v=kyoaD2o-KVI,"Seductive Sounds",https://youtube.com/channel/UCXaz7hiU56mW3St2du-_V6g
liked,"Danijel Milošević, germanista i copywriter, Demotivacija, Meaning - Pojačalo podcast EP 133",https://youtube.com/watch?v=rwxJx_bwkXc,"Pojacalo",https://youtube.com/channel/UC_NvcpQIWA7TXh1qhjlPCuQ
liked,"Amazing Theremin Music Compilation 🎵",https://youtube.com/watch?v=hDYvQ8FsZB4,"ZLATNO DOBA ☀️",https://youtube.com/channel/UC1FLXtGHQo9AnwmA-dhZ0Ug
liked,"Nirvana - Smells Like Teen Spirit (Theremin Cover)",https://youtube.com/watch?v=Wpwn2LVy9eA,"Robert Meyer Thereminist",https://youtube.com/channel/UCDuvlUebFkUeO01GgXbfIOQ
liked,"The Most Misunderstood Concept in Physics",https://youtube.com/watch?v=DxL2HoqLbyA,"Veritasium",https://youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA
liked,"Francesca Lombardo - Eye Ring (Extended Mix)",https://youtube.com/watch?v=bq--ogkDe1k,"Francesca Lombardo",https://youtube.com/channel/UCpG3bXc-u_zHz86ihgbInxg
liked,"Le Youth - Virgo",https://youtube.com/watch?v=cx3brG_1DUc,"Seductive Sounds",https://youtube.com/channel/UCXaz7hiU56mW3St2du-_V6g
liked,"Dezza & Lauren L'aimant - Ghost (Pete K Remix)",https://youtube.com/watch?v=3cWQWvHkQts,"Colorize",https://youtube.com/channel/UC0N5WnyEJPWvPdETBRN0dkg
liked,"Noequalgods - Emerald Stars",https://youtube.com/watch?v=vBjmU98aToI,"Elliptical Sun Music",https://youtube.com/channel/UCqs6-itsaTOJkGXXRb_0pbA
liked,"Something Good & CAPS - Remember (Original Mix) [Macarize]",https://youtube.com/watch?v=PcXLLG9Z0wA,"Macarize",https://youtube.com/channel/UCof8yH8jZQsoTf_E_BToQvg
liked,"You Will Know",https://youtube.com/watch?v=tgpFetiYC64,"Prus Control - Topic",https://youtube.com/channel/UCUWXwMrlI3A2GiiVWGYJi9A
liked,"Boy North & MØØNE - Something For Nothing",https://youtube.com/watch?v=h0G16VTT0J8,"The Grand Sound",https://youtube.com/channel/UC14ap4T608Zz_Mz4eezhIqw
liked,"brothel. x barnacle boi - SLIDE",https://youtube.com/watch?v=sXbM7nGE0Kg,"Trap Nation",https://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg
liked,"Querido",https://youtube.com/watch?v=fZNf1NoWNPw,"Bonsaye - Topic",https://youtube.com/channel/UCQIs1vBm2BHHUIjrrXIjvLg
liked,"Jan Blomqvist feat. Aparde - Drift",https://youtube.com/watch?v=gonF1u-ZmZE,"Armada Music TV",https://youtube.com/channel/UCGZXYc32ri4D0gSLPf2pZXQ
liked,"Flight Facilities - Two Bodies (feat. Emma Louise)",https://youtube.com/watch?v=UGDqolmIhF8,"Flight Facilities",https://youtube.com/channel/UCvBxvcqGSQkbs1BRafBIYSg
